,ensembl_gene_id,external_gene_id,con1_ExpCounts,con2_ExpCounts,mic1_ExpCounts,mic2_ExpCounts,mic3_ExpCounts
6283,ENSRNOG00000016390,Eef1e1,2.7205631825,3.0398779197,4.6898145614,4.4865114697,4.852441064
6284,ENSRNOG00000016391,Arid4b,4.7384332252,4.6491960909,4.6605631886,4.8863503995,4.5884937569
6285,ENSRNOG00000016392,Zfp593,1.6597727273,1.8121599645,3.5143162256,3.767719683,3.8276429741
6286,ENSRNOG00000016394,LOC100911453,3.420786961,4.1801902028,5.6831841978,5.7784533879,5.7277680672
6287,ENSRNOG00000016396,Fbxo11,4.6459511467,4.5818884507,5.1752698403,5.1335294679,5.0464766402
6288,ENSRNOG00000016398,Clstn1,2.8803756298,3.1863141005,4.1519668386,3.8357760594,3.9078426442
6289,ENSRNOG00000016399,RGD1359127,2.8290469574,3.0674946765,4.9589144706,4.7113041018,5.0347007568
6290,ENSRNOG00000016405,Pcsk4,0.2466857824,0.4383900585,2.6742929317,2.1829288366,2.4581481716
6291,ENSRNOG00000016408,Kirrel1,2.475554644,2.6386244986,3.7987809029,3.9209115994,3.4660721523
6292,ENSRNOG00000016410,Prelid1,6.9941176053,6.9905542411,7.6685413616,7.6301314718,7.792142498
6293,ENSRNOG00000016411,Rps12,6.9845125907,6.8793482416,9.5743653063,9.3213139304,10.1367910726
6294,ENSRNOG00000016412,Fxyd6,2.2338581271,2.1343147088,2.6882968818,3.191047421,3.4423550691
6295,ENSRNOG00000016413,Pstpip1,0.5299217162,0.4383900585,3.2187198839,2.8213664308,3.2341369288
6296,ENSRNOG00000016414,Slc22a17,4.113963353,4.2545195463,3.7091103372,3.648664172,3.6892602302
6297,ENSRNOG00000016416,Rnh1,5.5728689857,5.4933242401,7.8627639019,7.7109869671,7.9401391246
6298,ENSRNOG00000016419,Pdlim5,4.204018238,4.0950953654,5.0430569771,4.9515788903,4.5859606973
6299,ENSRNOG00000016420,Serpinb6b,1.0909736433,-0.0653345537,1.4709384856,1.2086222957,1.6299886843
6300,ENSRNOG00000016422,Klhl36,1.877513572,1.5619672806,3.2090387202,2.6870636022,2.8677725521
6301,ENSRNOG00000016423,Tacc1,4.2420593645,4.2852220043,5.3597874659,5.388679424,5.4184532891
6302,ENSRNOG00000016427,Letm1,5.6438983405,5.6598214151,5.8282263936,6.0820293995,5.7453371061
6303,ENSRNOG00000016432,Samd13,-1.6057271067,-2.6712702178,0.8284841013,0.6718443479,1.2316793053
6304,ENSRNOG00000016433,Prrc1,4.0025487941,4.2902957838,5.4953962988,5.5924824256,5.0385179862
6305,ENSRNOG00000016434,Prkd2,2.5193890138,2.210982879,3.3912997212,3.7389126486,3.1442876926
6306,ENSRNOG00000016437,Tm4sf4,7.1060706297,7.0826027243,8.3941853304,8.2650872926,8.7582533187
6307,ENSRNOG00000016443,Vps13d,6.6266792255,6.338230507,6.6788408933,6.843821411,6.1081815995
6308,ENSRNOG00000016447,RGD1310553,4.040651041,4.2240130024,4.9089609114,5.0368864365,4.9351431968
6309,ENSRNOG00000016448,Eef2k,4.040651041,3.4195785316,4.8106999535,4.5976501676,4.7749235616
6310,ENSRNOG00000016451,Cd1d1,4.9279510288,4.6016248346,5.5070377745,5.6327352879,5.521464789
6311,ENSRNOG00000016452,Creb3,4.5698232158,4.4143705365,7.2454801453,7.1069029706,7.2920575181
6312,ENSRNOG00000016454,Nasp,3.2095806936,3.0538217638,4.9367078161,5.1542590947,5.2285178419
6313,ENSRNOG00000016456,Il33,6.0914695959,5.9157514599,4.172037948,3.9795491174,4.3423788733
6314,ENSRNOG00000016459,Eif3j,5.2377691297,5.4412324807,6.5264014472,6.2535445149,6.4739715866
6315,ENSRNOG00000016460,Clu,9.7297151179,9.7934110672,13.8237645815,14.1737102036,14.1126924786
6316,ENSRNOG00000016462,LOC102547287,2.0959069557,1.5619672806,2.7563474211,2.5610738817,3.0053719946
6317,ENSRNOG00000016465,Trmu,2.7205631825,2.35308247,4.0362880776,3.805255567,3.9763978302
6318,ENSRNOG00000016467,Kctd1,-0.5740393878,-0.6523807035,0.7235961884,0.4993671215,0.0700959108
6319,ENSRNOG00000016468,Tpmt,4.6332396529,5.0888602551,5.074000315,4.8694389283,5.2502467442
6320,ENSRNOG00000016469,Fxyd2,-0.771168893,-1.6586497679,0.3535682155,0.0766457446,1.866717024
6321,ENSRNOG00000016470,Ndufa10,6.5579841876,6.7342524518,7.2496297619,6.9783961387,7.1049748164
6322,ENSRNOG00000016474,Tspan3,2.3354448738,2.7283002105,4.7138711733,4.7593815301,4.8154925708
6323,ENSRNOG00000016475,Nt5c3b,2.2338581271,2.210982879,3.8803386669,4.1350375507,4.1774485184
6324,ENSRNOG00000016477,Vangl1,4.3746370867,4.4914439744,5.5191737901,5.7236851787,5.648330376
6325,ENSRNOG00000016478,Eif5a,7.4735874741,7.5457011113,8.997537995,8.8311377651,9.0094887847
6326,ENSRNOG00000016484,Gstk1,5.5466293283,6.3567682985,8.1888043468,7.0269743799,8.0208007473
6327,ENSRNOG00000016486,Nop58,3.5637123173,4.5484480214,6.0928747842,6.0510972038,6.1780911872
6328,ENSRNOG00000016488,Pltp,4.8948021205,4.8928085233,4.5234401367,3.6116428856,4.6048511161
6329,ENSRNOG00000016491,Fam110d,-1.2710402838,-0.1912440573,0.6104805491,0.7509201316,0.8964044584
6330,ENSRNOG00000016494,Tmem204,3.3618113559,3.2238000166,2.7429916831,2.0995756823,3.7339474825
6331,ENSRNOG00000016496,Ctsc,8.9319203513,8.774096623,8.3361033115,8.241479049,8.3218305445
6332,ENSRNOG00000016497,Bloc1s5,3.3375290981,3.3808323532,4.1869101314,4.1423889153,4.448083768
6333,ENSRNOG00000016503,Smarcal1,3.0393711806,3.0538217638,4.5356912782,4.5319993935,4.3480246647
6334,ENSRNOG00000016507,LOC687679,3.5532069471,3.629664138,5.7483493028,5.6177816576,6.1936606686
6335,ENSRNOG00000016509,Usp10,4.5698232158,4.9121497756,6.0389351693,6.0877525021,5.897502979
6336,ENSRNOG00000016511,Pitrm1,5.2767309061,5.2023760876,7.3651291646,7.1557700143,7.4096634448
6337,ENSRNOG00000016512,Sema3b,-0.771168893,-2.0778818289,3.1392861743,3.2602553417,2.7156522159
6338,ENSRNOG00000016516,Mbp,3.1410832354,3.24826022,2.9314016324,2.9774874587,2.8021351332
6339,ENSRNOG00000016519,Kdm1b,4.1766291781,4.2112542274,4.5225415202,4.543150757,4.2407530315
